Planner: Chemistry B.A. Planner 2
1,CHEM 163A,CHEM 163B,CHEM 110 & CHEM 110L
1,PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,
1,,,
2,"CHEM elective 
            or CHEM 146A*",CHEM 164,"CHEM elective or 
CHEM 146B/CHEM 146C*"
2,,,
2022-23,Chemistry B.S.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Chemistry-and-Biochemistry/Chemistry-BS
Planner: Chemistry B.S. Planner 1
1,MATH 11A or MATH 19A,MATH 11B or MATH 19B,"CHEM 1C & 1N
            (not required if CHEM 4 series completed)"
1,"CHEM 1A or
CHEM 1B & 1M or
CHEM 4A & 1M","CHEM 1B & 1M or
CHEM 1A or 
CHEM 4B & 1N",MATH 21
1,,,
2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2,PHYS 6A & PHYS 6L,MATH 22,PHYS 6B & PHYS 6M
2,,,
3,CHEM 163A,CHEM 163B,CHEM 163C
3,PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,CHEM 103
3,,,
4,CHEM 146A*,CHEM 164,CHEM elective
4,CHEM elective,,CHEM 146B/CHEM 146C*
Planner: Chemistry B.S. Planner 2
1,CHEM 163A,CHEM 163B,CHEM 163C
1,PHYS 6C & PHYS 6N,CHEM 151A & CHEM 151L,1st (junior)
1,,CHEM 110 & CHEM 110L,1st (junior)
1,,,1st (junior)
1,,,2nd (senior)
2,CHEM 164,CHEM elective,2nd (senior)
2,MATH 21,CHEM 103,2nd (senior)
Planner: Chemistry B.S. Planner 3
1,MATH 11A or MATH 19A,MATH 11B or MATH 19B,BIOL 20A
1,"CHEM 1A or
CHEM 1B & 1M or
CHEM 4A & 1M","CHEM 1B & 1M or
CHEM 1A or
CHEM 4B & 1N","CHEM 1C & 1N
            (not required if CHEM 4 series completed)"
1,,,
2,CHEM 8A & CHEM 8L,CHEM 8B & CHEM 8M,CHEM 110 & CHEM 110L
2,BIOE 20B,MATH 22,MATH 21
2,,,
3,BIOC 100A,BIOC 100B,BIOC 100C
3,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M,PHYS 6C & PHYS 6N
3,,,
4,CHEM 163A,CHEM 163B,CHEM 163C
4,,CHEM 151A & CHEM 151L,*BIOC 110L
Planner: Chemistry B.S. Planner 4
1,BIOC 100A,BIOC 100B,BIOC 100C
1,,,CHEM 110 & CHEM 110L
1,,,
1,Fall,Winter,Spring
2,CHEM 163A,CHEM 163B,CHEM 163C
2,,CHEM 151A & CHEM 151L,*BIOC 110L
2022-23,Classical Studies B.A.,https://catalog.ucsc.edu/en/2022-2023/General-Catalog/Academic-Units/Humanities-Division/History/Classical-Studies-BA
Planner: Classical Studies B.A. Planner 1
1,GREE 1 or LATN 1,GREE 2 or LATN 2,LIT 184A or LIT 186A
1,CLST lower-division survey,,
1,,,
2,LIT 184-series/LIT 186-series,LIT 184-series/LIT 186-series,Upper-division elective
2,,,
2,,,
3,Upper-division elective,Upper-division elective,Upper-division elective
3,,,
3,,,
4,Upper-division elective,Upper-division elective,CLST 197F (2 credits)
4,,,
Planner: Classical Studies B.A. Planner 2
1,GREE 1 or LATN 1,GREE 2 or LATN 2,LIT 184A or LIT 186A
1,CLST lower-division survey,Upper-division elective,Upper-division elective
1,Upper-division elective,,
2,LIT 184-series/LIT 186-series,LIT 184-series/LIT 186-series,Upper-division elective
