4th(senior),PHYS 6C & PHYS 6N,Biology Elective #1 of 3,Biology Elective #3 of 3,
2023-24,Biomolecular Engineering and Bioinformatics B.S.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/baskin-engineering/biomolecular-engineering/biomolecular-engineering-and-bioinformatics-bs
Sample Plan:  Biomolecular  Engineering Concentration
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),CHEM 3A,MATH 19B,AM 10,
1st (frosh),MATH 19A,CHEM 3B & CHEM 3BL,CHEM 3C & CHEM 3CL,
1st (frosh),,WRIT 1/WRIT 1E (if needed),BME 21L,
2nd (soph),BME 22L,BME 23L,BME 105,
2nd (soph),CHEM 8A,CHEM 8B,PHYS 5B & PHYS 5M,
2nd (soph),BIOL 20A,PHYS 5A & PHYS 5L,,
2nd (soph),WRIT 2*,AM 20,,
3rd (junior),BIOC 100A,BIOC 100B,AM 115,
3rd (junior),BME 110,BME 160,BME 163,
3rd (junior),BME 185,STAT 131,,
4th (senior),BME 129A,BME 129B,BME 129C,
Sample Plan:  Biomolecular  Engineering Concentration (CHEM 8A & CHEM 8B In summer after first year)
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (frosh),CHEM 3A,MATH 19B,BIOL 20A,
1st (frosh),MATH 19A,CHEM 3B & CHEM 3BL,CHEM 3C & CHEM 3CL,
1st (frosh),,WRIT 1/WRIT 1E (if needed),BME 21L,
2nd (soph),BME 22L,BME 23L,BME 105,
2nd (soph),BIOC 100A,BIOC 100B,PHYS 5B & PHYS 5M,
2nd (soph),BME 80G,PHYS 5A & PHYS 5L,,
2nd (soph),WRIT 2*,,,
3rd (junior),BME 185,AM 20,,
3rd (junior),BME 110,BME 160,BME 163,
3rd (junior),AM 10,,,
4th (senior),BME 129A,BME 129B,BME 129C,
4th (senior),STAT 131,STAT 132,Elective,
Transfer planner
Year,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
1st (junior),BIOC 100A,BIOC 100B,BME 105,
1st (junior),BME 80G,BME 110,BME 160,
1st (junior),BME 185,AM 20,PHYS 5B & PHYS 5M,
1st (junior),BME 22L,BME 23L,,
2nd(senior),BME 129A,BME 129B,BME 129C,
2nd(senior),STAT 131,STAT 132,BME 163,
Transfer planner
Year,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
"3rd
            (junior)",BIOC 100A,BME 110,BME 105,
"3rd
            (junior)",AM 10,BME 160,BME 163,
"3rd
            (junior)",STAT 131,STAT 132,CSE 30,
"4th
            (senior)",BME 205,BME 230A,Elective,
"4th
            (senior)",BME 80G,CSE 185E,CSE 182,
2023-24,Biotechnology B.A.,https://catalog.ucsc.edu/en/current/general-catalog/academic-units/baskin-engineering/biomolecular-engineering/biotechnology-ba
Sample Plan for Incoming Frosh
Year,Fall,Winter,Spring,Summer
Entering,,,,College 1A
Entering,,,,Summer Edge (optional)
Entering,,,,
"1st
			(frosh)",BME 18,CHEM 1A,BIOL 20A,
"1st
			(frosh)",College 1,BME 80H,,
"1st
			(frosh)",,WRIT 1/WRIT 1E (if needed),,
"2nd
			(soph)",STAT 7 & STAT 7L,BME 5,BME 105,
"2nd
			(soph)",WRIT 2**,CSE 20,,
"2nd
			(soph)",,,,
"3rd
			(junior)",BME 130,BME 110,BME 160,
"3rd
			(junior)",BME 185,METX 100,,
"3rd
			(junior)",,,,
"4th
			(senior)",BME 132*,BME 175,,
"4th
			(senior)",,,,
Sample Plan for Transfer Students
year,Fall,Winter,Spring,Summer
Entering,,,,KRSG 1T
Entering,,,,Summer Edge (optional)
Entering,,,,
"3rd
			(junior)",BME 130*,BME 5,BME 80H,
