2020-21,Computer Science B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Computer-Science-and-Engineering/Computer-Science-BS
Planner: Computer Science B.S. Planner 1
1,CSE 30,CSE 12 & CSE 12L,CSE 16
1,MATH 19A,MATH 19B,AM 30
1,,,
2,CSE 13S,CSE 101,CSE 120
2,AM 10,CSE 107,
2,,,
3,CSE 130,CSE 102,CSE 103
3,Elective,Elective,
3,,,
4,Elective,CSE 114,Capstone elective
4,DC elective,,
Planner: Computer Science B.S. Planner 2
1,CSE 20,CSE 30,CSE 12 & CSE 12L
1,MATH 3,MATH 19A,MATH 19B
1,,,
2,CSE 13S,AM 30,CSE 101
2,AM 10,CSE 16,CSE 107
2,,,
3,CSE 102,CSE 103,CSE 120
3,Elective,Elective,DC-elective
3,,,
4,CSE 112,CSE 130,Capstone elective
4,Elective,,
Planner: Computer Science B.S. Planner 3
1,CSE 12 & CSE 12L,CSE 102,CSE 130
1,CSE 101,CSE 120,CSE 103
1,AM 30,CSE 107,DC elective
2,CSE 114,Elective,Elective
2,Elective,Capstone elective,Elective
2020-21,Computer Science: Computer Game Design B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Baskin-School-of-Engineering/Computational-Media/Computer-Science-Computer-Game-Design-BS
Planner: Computer Science: Computer Game Design B.S. Planner 1
1,ARTG 80H,CMPM 80K,CSE 12 & CSE 12L
1,MATH 19A,MATH 19B or MATH 20B,
1,,CSE 30,
2,ARTG 80G,FILM 80V,CMPM 120
2,MATH 21 or AM 10,,ARTG 120
2,CSE 13E or CSE 13S,CSE 16,CSE 101
3,CSE 111,Game Engineering 1,Game Engineering 3
3,CMPM 176,Game Engineering 2,Game Engineering 4
3,,,
4,CMPM 170,CMPM 171,CMPM 172
4,Game Engineering 5,,
Planner: Computer Science: Computer Game Design B.S. Planner 2
1,CSE 20,CMPM 80K,CSE 12 & CSE 12L
1,MATH 3,CSE 30,MATH 19B
1,,MATH 19A,
2,ARTG 80G,FILM 80V,CMPM 120
2,CSE 13E or CSE 13S,MATH 21 or AM 10,ARTG 120
2,ARTG 80H,CSE 16,CSE 101
3,CSE 111,Game Engineering 1,Game Engineering 3
3,CMPM 176,Game Engineering 2,Game Engineering 4
3,,,
4,CMPM 170,CMPM 171,CMPM 172
4,Game Engineering 5,,
Planner: Computer Science: Computer Game Design B.S. Planner 3
1,ARTG 80H,CMPM 80K,CSE 111
1,ARTG 80G,FILM 80V,CMPM 120
1,[OPEN]*,CSE 101,ARTG 120
2,CMPM 170,CMPM 171,CMPM 172
2,CMPM 176,Game Engineering 2,Game Engineering 4
2020-21,Critical Race and Ethnic Studies B.A.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Humanities-Division/Critical-Race-and-Ethnic-Studies/Critical-Race-and-Ethnic-Studies-BA
Planner: Critical Race and Ethnic Studies B.A. Planner 1
1,,,
1,,,
1,,,
2,CRES 10,CRES 100,CRES 101
2,,,CRES elective
2,,,
3,CRES elective,CRES elective,CRES elective
3,,CRES elective,
3,,,
4,CRES elective,CRES 190,
4,,,
Planner: Critical Race and Ethnic Studies B.A. Planner 2
1,CRES 10,CRES 100,CRES 101
1,,CRES elective,CRES elective
1,,,
2,CRES elective,CRES elective,CRES 190
2,CRES elective,CRES elective,
2020-21,Earth Sciences B.S.,https://catalog.ucsc.edu/en/2020-2021/General-Catalog/Academic-Units/Physical-and-Biological-Sciences-Division/Earth-and-Planetary-Sciences/Earth-Sciences-BS
Planner: Earth Sciences B.S. Planner 1
1,CHEM 1A,MATH 11A or MATH 19A,EART 10 & EART 10L
1,,CHEM 1B & CHEM 1M,"MATH 11B 
			or MATH 19B"
1,,,CHEM 1C & CHEM 1N
2,EART 110A & EART 110L*,EART 110B & EART 110M*,PHYS 6B & PHYS 6M
2,MATH 23A or EART 111,PHYS 6A & PHYS 6L,
2,,,
3,EART elective,EART elective,EART 110C & EART 110N
3,,,EART elective
3,,,
4,EART elective,EART elective,"EART 189A*
			or senior thesis"
1,"(sr thesis only)
EART 199†","(sr thesis only)
EART 199†",(EART 195)†
Planner: Earth Sciences B.S. Planner 2
1,EART 111,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
1,EART 110A & EART 110L,EART 110B & EART 110M,EART 110C & EART 110N
1,,,
2,EART elective,EART elective,EART elective
2,EART elective,EART elective,EART elective
Planner: Earth Sciences B.S. Planner 3
1,CHEM 1A,MATH 11A or MATH 19A,CHEM 1C & CHEM 1N
1,EART 5 & EART 5L,CHEM 1B & CHEM 1M,MATH 11B or MATH 19B
1,,,
2,EART 110A & EART 100L,EART 110B & EART 110M,EART 109 & EART 109L
2,,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
2,,,
3,Upper-division elective,Geology  elective,EART 110C & EART 110N
3,,,EART 120 & EART 120L
3,,,
4,EART 150 & EART 150L,Upper-division elective,EART 189A*
4,,,
Planner: Earth Sciences B.S. Planner 4
1,Geology elective,PHYS 6A & PHYS 6L,PHYS 6B & PHYS 6M
1,EART 110A & EART 110L,EART 110B & EART 110M,EART 109 & EART 109L
1,,,
2,EART 150 & EART 150L,Upper-division elective,EART 120 & EART 120L
2,,Upper-division elective,EART 110C & EART 110N
Planner: Earth Sciences B.S. Planner 5
1,MATH 19A,MATH 19B,EART 10 & EART 10L
